target_order,plugin,prefix,candidate_folders,in_downloaded_archive,in_mv_loadorder,in_nolvus_plugins,in_mv_install,in_nolvus_install
3680,Lux Orbis - COTN Dawnstar patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3681,Lux Orbis - COTN Falkreath patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3685,Lux Orbis - Embers XD patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,yes,Lux Orbis,Lux Orbis
3686,Lux Orbis - Embershard patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3688,Lux Orbis - Fortified Dawnstar patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3689,Lux Orbis - Fortified Morthal patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3696,Lux Orbis - Halla Patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3708,Lux Orbis - JK's Raven Rock patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3710,Lux Orbis - Riften Sconce Patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,yes,Lux Orbis,Lux Orbis
3712,Lux Orbis - JK's Sky Haven Temple patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3713,Lux Orbis - JK's Tel Mithryn patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3724,Lux Orbis - Ryn's Azura's Shrine.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3728,Lux Orbis - Ryn's Dragon Mounds.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,yes,Lux Orbis (patch hub),
3732,Lux Orbis - Ryn's Lost Valley Redoubt Patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3750,Lux Orbis - USSEP patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,yes,Lux Orbis,Lux Orbis
3751,Lux Orbis - Windhelm Entrance Overhaul patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3758,WiZkiD Lund's Hut - Lux Patch.esp,WiZkiD Lund's Hut,,Tiny Patch Hub-62050-2-5-1-1771141620.7z,yes,,Tiny but Useful - Yet Another Patch Hub,
3772,Faendal Home Overhaul - Lux Patch.esp,Faendal Home Overhaul,,,,,,
3775,Lux - Orc Exiles - Bilegulch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,,,,
3786,Occ_Skyrim_City-Entrances-Overhaul-Markarth_patch.esp,Occ,Occiglacies (Crafting Fix) (keep); Lux - HAG - Occult Orphan Rock Patch (keep); Project AHO - CC Ghost of the tribunal Consistency Patch (keep),,,,,
3794,Lux - Ryn's Whiterun City Limits patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,,,,
3798,Lux - Aki's Tower patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3803,Lux - Autumngate patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3811,Lux - COTN Dawnstar patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3815,Lux - COTN Falkreath patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3824,Lux - Eli Halla patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3825,Lux - Eli's Home in a Hat patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3829,Lux - Embershard patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3855,Lux - JK's Blood Inn patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,yes,Lux (patch hub),
3875,Lux - JK's Raven Rock patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3880,Lux - JK's Sleeping Giant inn patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3881,Lux - JK's Tel Mithryn patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3889,Lux - JK's Thieves Guild patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3906,Lux - Mirele Bismath Reborn.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3910,Lux - Myrwatch Tweaks and Enhancements patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,,,,
3919,Lux - Redwater Brewery patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3921,Lux - Ryn's Azura's Shrine patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3922,Lux - Ryn's Mehrunes Dagon Shrine patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3933,Lux - SWIFT.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,,,,
3936,Lux - Grand Solitude patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,,,,
3937,Lux Orbis - COTN Winterhold patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3939,Lux Orbis - TGCotN Winterhold patch.esp,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,,Lux Orbis (patch hub),
3940,Lux - TGCotN Winterhold V4 patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3955,[Fix] Lux Orbis - Windhelm Entrance Overhaul patch - Revert Bridge.esp,[Fix] Lux Orbis,,,yes,,Mages & Vikings - Custom Files,
3958,Snazzy Interiors - Windhelm AIO - 3DNPC + Lux patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
3959,Lux - Windhelm Entrance Overhaul patch.esp,Lux,Lux CS Patch (download); Lux - Patch Hub3 (keep); Lux Orbis - Patch Hub2 (keep),,yes,,Lux (patch hub),
3982,Northern Roads - Fortified Morthal.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
3984,Riverwood Timber Rest - Northern Road Patch.esp,Riverwood Timber Rest,,,,,,
3985,Riverwood Falls - Northern Roads - Riverwood Timber Rest.esp,Riverwood Falls,,,,,,
3987,Northern Roads Tents - Animated.esp,Northern Roads Tents,,,,,,
3988,Northern Roads - A Cat's Life patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
3990,Northern Roads - Ashe patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
3991,Northern Roads - BS Bruma Patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
3997,Northern Roads - Complementary Grass Fixes patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
3999,Northern Roads - CRF patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4001,Northern Roads - Forgotten City patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4004,Northern Roads - Interesting NPCs 3DNPC patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4020,Northern Roads - Legacy of the Dragonborn patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4031,Northern Roads - Moon And Star patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4033,Northern Roads - Realistic Nord Ships Patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4034,Northern Roads - Roadsigns Overhaul patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4043,Northern Roads - Ryn's Whiterun City Limits Patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4044,Northern Roads - Ryn's Whiterun City Limits + CC Tundra Homestead patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4045,Northern Roads - Ryn's Whiterun City Limits + Ryn's Bleakwind Basin patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4047,Snazzy Interiors - Karthwasten Hall - Lux (TGTK) patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
4048,Northern Roads - The Great Town of Karthwasten patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4049,Northern Roads - The Great Town of Shor's Stone patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4050,Northern Roads - The Great Village of Kynesgrove patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4052,Northern Roads - The Great Village of Old Hroldan patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4053,Northern Roads - Undeath patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Northern Roads Patch Collection
4057,Northern Roads - COTN Dawnstar - Realistic Nord Ships - Lux Orbis patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4066,Northern Roads - Skybound Underhang Camp patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4072,Northern Roads - Alternate Perspective Patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,Nolvus - Northern Roads Grass Patches
4073,Northern Roads - Better Courier patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4076,Northern Roads - JKs Riften Outskirts - A Cat's Life patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4077,Northern Roads - LFFGM - Complementary Grass Fix Patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4079,Northern Roads - Lux Via - Better Courier patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4080,Northern Roads - Lux Via - The Great Town of Karthwasten.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4081,Northern Roads - Ryn's Dragon Mounds - TGV Kynesgrove patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,yes,,
4083,Northern Roads - Skyrim Wayshrines patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4084,Northern Roads - Thunderchild patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4085,Northern Roads - Tools of Kagrenac patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4086,Northern Roads - Wintersun patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4099,Northern Roads - Grand Solitude patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4101,Northern Roads - JKs Solitude Outskirts + Grand Solitude patch.esp,Northern Roads,Northern Roads Patch Compendium (keep); Northern Roads - Patches Compendium (keep); Northern Roads Patch Collection Addons (keep),,,,,
4152,Ancientland - Valtheim Statues Patch.esp,Ancientland,Ancient Land - JK's Windhelm Outskirts patch (download); Ancient Land Patches (download),,,,,
4156,JKs Riften Outskirts - Atlas Map Markers patch.esp,JKs Riften Outskirts,JK's Riften Outskirts - Scarecrows of Skyrim Patch (keep); JK's Riften Outskirts Patch Collection2 (keep),,,,,
4157,JKs Solitude Outskirts - Atlas Map Markers patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,yes,,JK's Solitude Outskirts - Patch Collection
4158,JKs Raven Rock - Atlas Map Markers patch.esp,JKs Raven Rock,JK's Raven Rock Patch Collection2 (keep),,,,,
4159,TGC Winterhold - Atlas Map Markers patch.esp,TGC Winterhold,,,,yes,,The Great City of Winterhold Patch Collection
4160,COTN Falkreath - Atlas Map Markers SE patch.esp,COTN Falkreath,Eclipse Cottage - A COTN Falkreath Addon - Lux Patch (keep),,,,,
4161,COTN Winterhold - Atlas Map Markers Patch.esp,COTN Winterhold,Diverse Chicken Coops - CoTN Winterhold Patch (download); COTN Winterhold Patch Collection2 (keep),,,,,
4165,JKs Castle Volkihar - Atlas Map Markers patch.esp,JKs Castle Volkihar,,JK's Guild HQ Interiors Patch Collection-61416-1-29-1-1776961309.rar,,yes,,JKs Guild HQ Interiors Patch Collection
4175,ModpocalypseNPCs-LotDV6-ErrorFixes.esp,ModpocalypseNPCs-LotDV6-ErrorFixes,,,,,,
4179,Dreadful Alduin Graphics Only.esp,Dreadful Alduin Graphics Only,,,,,,
4191,Vanaheimr - Mines and Caves - PBR.esp,Vanaheimr,Texture Patch for Vanaheimr PBR Landscapes (download),,,,,
4197,Praedy's WinterholdCollegeBanner.esp,Praedy's WinterholdCollegeBanner,,,,,,
4199,ThronesExpandedBOS.esp,ThronesExpandedBOS,,,yes,,Thrones Expanded - Base Object Swapper,
4200,TerrainHelper.esp,TerrainHelper,,,yes,,Terrain Helper,
