target_order,plugin,prefix,candidate_folders,in_downloaded_archive,in_mv_loadorder,in_nolvus_plugins,in_mv_install,in_nolvus_install
2469,Occ_Skyrim_COTN-Falkreath_patch.esp,Occ,Occiglacies (Crafting Fix) (keep); Lux - HAG - Occult Orphan Rock Patch (keep); Project AHO - CC Ghost of the tribunal Consistency Patch (keep),,,,,
2478,Mostly Treeless Tundra - Northern Scenery - Whiterun Tundra Patch.esp,Mostly Treeless Tundra,,,,,,
2545,AYOP TG - COTN Winterhold Patch.esp,AYOP TG,,Tiny Patch Hub-62050-2-5-1-1771141620.7z,,,,
2599,Medieval Markets - CC Nordic Jewelry Patch.esp,Medieval Markets,Medieval Markets - Vergis Winery Patch (keep); Medieval Markets - Patches Collection3 (keep); Medieval Markets - Whiterun Fixes - USSEP Patch (keep),,,,,
2600,Medieval Markets - Creation Club Fishing Patch.esp,Medieval Markets,Medieval Markets - Vergis Winery Patch (keep); Medieval Markets - Patches Collection3 (keep); Medieval Markets - Whiterun Fixes - USSEP Patch (keep),,,,,
2601,Medieval Markets - eFPS Patch.esp,Medieval Markets,Medieval Markets - Vergis Winery Patch (keep); Medieval Markets - Patches Collection3 (keep); Medieval Markets - Whiterun Fixes - USSEP Patch (keep),,,,,
2627,JKs Riften Outskirts - A Cats Life patch.esp,JKs Riften Outskirts,JK's Riften Outskirts - Scarecrows of Skyrim Patch (keep); JK's Riften Outskirts Patch Collection2 (keep),,,,,
2629,JKs Riften Outskirts - Mihails Goblins and Riekrs patch.esp,JKs Riften Outskirts,JK's Riften Outskirts - Scarecrows of Skyrim Patch (keep); JK's Riften Outskirts Patch Collection2 (keep),,,,,
2631,JKs Riften Outskirts - DK Nord Ships patch.esp,JKs Riften Outskirts,JK's Riften Outskirts - Scarecrows of Skyrim Patch (keep); JK's Riften Outskirts Patch Collection2 (keep),,,,,
2633,JKs Riften Outskirts - LOTD patch.esp,JKs Riften Outskirts,JK's Riften Outskirts - Scarecrows of Skyrim Patch (keep); JK's Riften Outskirts Patch Collection2 (keep),,,yes,,JK's Riften Outskirts Patch Collection
2662,JKs Solitude Outskirts - Grand Solitude patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,,,
2696,JKs Solitude Outskirts - 3DNPC patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,yes,,JK's Solitude Outskirts - Patch Collection
2700,JKs Solitude Outskirts - A Cats Life patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,yes,,JK's Solitude Outskirts - Patch Collection
2702,JKs Solitude Outskirts - Dwueth'Var patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,yes,,JK's Solitude Outskirts - Patch Collection
2703,JKs Solitude Outskirts - LOTD patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,yes,,JK's Solitude Outskirts - Patch Collection
2704,JKs Solitude Outskirts - Midwood Isle patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,yes,,JK's Solitude Outskirts - Patch Collection
2706,JKs Solitude Outskirts - DK Nord Ships patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,,,
2710,JKs Solitude Outskirts - Grand Solitude + LFFGM patch.esp,JKs Solitude Outskirts,JK's Solitude Outskirts Patch Collection3 (keep),,,,,
2719,Solitude StatueGaiusMucius.esp,Solitude StatueGaiusMucius,,,,yes,,Solitude Statues AIO
2721,Solitude StatueJason.esp,Solitude StatueJason,,,,yes,,Solitude Statues AIO
2731,JKs Raven Rock - Better Dynamic Ash patch.esp,JKs Raven Rock,JK's Raven Rock Patch Collection2 (keep),,,,,
2732,JKs Raven Rock - Clockwork patch.esp,JKs Raven Rock,JK's Raven Rock Patch Collection2 (keep),,,,,
2733,JKs Raven Rock - LotD patch.esp,JKs Raven Rock,JK's Raven Rock Patch Collection2 (keep),,,,,
2734,JKs Raven Rock - Sunhelm patch.esp,JKs Raven Rock,JK's Raven Rock Patch Collection2 (keep),,,,,
2735,JKs Raven Rock - TSR patch.esp,JKs Raven Rock,JK's Raven Rock Patch Collection2 (keep),,,,,
2738,JKs Raven Rock - DK Nord Ships patch.esp,JKs Raven Rock,JK's Raven Rock Patch Collection2 (keep),,,,,
2744,JKs Tel Mithryn - Konahrik Accoutrements patch.esp,JKs Tel Mithryn,JK's Tel Mithryn Patch Collection2 (keep),,,,,
2745,JKs Tel Mithryn - TSR patch.esp,JKs Tel Mithryn,JK's Tel Mithryn Patch Collection2 (keep),,,,,
2767,Occ_Skyrim_City-Entrances-Overhaul-Windhelm_patch.esp,Occ,Occiglacies (Crafting Fix) (keep); Lux - HAG - Occult Orphan Rock Patch (keep); Project AHO - CC Ghost of the tribunal Consistency Patch (keep),,,,,
2768,Occ_Skyrim_JKs Windhelm Outskirts - CEO Windhelm_patch.esp,Occ_Skyrim_JKs Windhelm Outskirts,,,,,,
2769,JKs Windhelm Outskirts - 3DNPC patch.esp,JKs Windhelm Outskirts,JK's Windhelm Outskirts Patch Collection2 (keep); Ancient Land - JK's Windhelm Outskirts patch (download),,,yes,,JK's Windhelm Outskirts Patch Collection
2773,JKs Windhelm Outskirts - DK Nord Ships patch.esp,JKs Windhelm Outskirts,JK's Windhelm Outskirts Patch Collection2 (keep); Ancient Land - JK's Windhelm Outskirts patch (download),,,,,
2775,JKs Windhelm Outskirts - Skyrim Sewers patch.esp,JKs Windhelm Outskirts,JK's Windhelm Outskirts Patch Collection2 (keep); Ancient Land - JK's Windhelm Outskirts patch (download),,,yes,,JK's Windhelm Outskirts Patch Collection
2784,Occ_Skyrim_COTN-Dawnstar_patch.esp,Occ,Occiglacies (Crafting Fix) (keep); Lux - HAG - Occult Orphan Rock Patch (keep); Project AHO - CC Ghost of the tribunal Consistency Patch (keep),,,,,
2787,COTN Dawnstar - 3DNPC Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2788,COTN Dawnstar - Additional Hearthfire Dolls Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2790,COTN Dawnstar - Amulets of Skyrim Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2791,COTN Dawnstar - AYOP TG patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2792,COTN Dawnstar - BGCollectables Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2793,COTN Dawnstar - Cheesemod Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2794,COTN Dawnstar - Citizens of Tamriel Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2795,COTN Dawnstar - Cloaks of Skyrim Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2796,COTN Dawnstar - Clockwork Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2797,COTN Dawnstar - Legacy of the Dragonborn patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2798,COTN Dawnstar - Skyrim Unique Drinks Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2799,COTN Dawnstar - SkyrimsUniqueTreasures Patch.esp,COTN Dawnstar,COTN Dawnstar Patch Collection2 (keep); Breaking Dawn Cottage - A COTN Dawnstar Addon - Lux Patch (keep),,,,,
2801,Snazzy Black Briar Lodge - Cheesemod patch.esp,Snazzy Black Briar Lodge,,,,,,
2803,Snazzy Black Briar Lodge - LotD patch.esp,Snazzy Black Briar Lodge,,,,,,
2804,Snazzy Black Briar Lodge - SUT patch.esp,Snazzy Black Briar Lodge,,,,,,
2805,Snazzy Drelas Cottage - 3DNPC patch.esp,Snazzy Drelas Cottage,,,,,,
2806,Snazzy Honningbrew Meadery - Cheesemod patch.esp,Snazzy Honningbrew Meadery,,,,,,
2807,Snazzy Interiors - Darkwater Crossing Verner and Annekke's House - TGC - Cheesemod patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2809,Snazzy Interiors - Frostfruit Inn - 3DNPC patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
