folder,target_line,category,nexus_mod_id,nexus_mod_name,nexus_author,match_method,confidence,suggested_file_id,suggested_file_name,suggested_file_version,file_category,related_plugins,notes
Kvetchi Mercenary Set - PBR,160,nexus_ambiguous,79226,Kvetchi Mercenary Set,Pulcharmsolis,name_fuzzy,low,334954,Kvetchi Mercenary Set ESL,1.1,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: SPID for Kvetchi Mercenary Set by Pulcharmsolis (#80601, s=0.73, dl=22864); Kvetchi Mercenary Set - SPID and CID (#121119, s=0.73, dl=64207); Kvetchi Mercenary - SAM Refit (#83724, s=0.71, dl=442)"
Colovian Prince Set - PBR,161,nexus_ambiguous,79894,Colovian Prince Set,Pulcharmsolis,name_fuzzy,low,357807,Colovian Prince Set,1.1,MAIN,,"no file name matches the folder; the only current MAIN file is suggested | alternatives: Colovian Prince Set - SPID and CID (#121176, s=0.72, dl=64340); Colovian Prince Set - SAM (#91429, s=0.71, dl=563)"
Armors of the Velothi Pt. I - PBR,162,nexus_ambiguous,62752,Armors of the Velothi Pt. I,Pulcharmsolis - VishVadeva50,name_fuzzy,low,,,,,,"no file name matches the folder; several MAIN files: Armors of the Velothi Pt. I 2k (1.3.1) | Armors of the Velothi Pt. I 4k (1.3.1) | alternatives: Armors of the Velothi Pt. II (#69996, s=0.83, dl=1986149); Armors of the Velothi Pt. I - SPID (#155095, s=0.79, dl=3277); Armors of the Velothi Pt. I.ES (#151858, s=0.79, dl=804)"
TMD The Rift Leaves PBR 2k,163,nexus_ambiguous,111461,TMD The Rift Leaves,TheMilkDrinker,name_fuzzy,low,,,,,,no file name matches the folder; several MAIN files: TMD The Rift Leaves 1K | TMD The Rift Leaves 2K | TMD The Rift Leaves 4K
Flora Additions Waterplants PBR,164,nexus_ambiguous,118601,Flora Additions - Waterplants - Seasonal Patch,Fallven,name_fuzzy,low,,,,,,"no file name matches the folder; several MAIN files: Flora Additions - Waterplants - Seasonal Patch | Flora Additions - Waterplants - Seasonal Patch PBR | alternatives: Flora Additions - Waterplants (#116324, s=0.79, dl=308623)"
A PBR Nirnroot - 2k,165,nexus_ambiguous,80281,A Nirnroot,kiddgimmick,name_fuzzy,low,338755,A Nirnroot,1.0,MAIN,,no file name matches the folder; the only current MAIN file is suggested
Jiaye's Sovngarde PBR,166,nexus_found,135947,Jiaye's Sovngarde PBR,Jiaye (uploader jiayev),name_exact,high,570544,Jiaye's Sovngarde PBR,1.0,MAIN,,folder matches the file name
Wyrmstooth - PBR,167,nexus_found,148883,Wyrmstooth - PBR,Jonx0r Faultier and tmwd,name_exact,medium,622244,Wyrmstooth - PBR,1.0,MAIN,Wyrmstooth PBR.esp,"another mod has an equally exact name; picked the far more downloaded one | linked plugin(s) found in this mod's files: Wyrmstooth PBR.esp | folder matches the file name | alternatives: ESLifier - Modified .ESP HUB by Jas (#154673, s=1.00, dl=12)"
HDT-SMP Silver Armor PBR Patch,168,nexus_ambiguous,79255,HDT-SMP Silver Armor Patch,4thUnknown tatururutia,name_fuzzy,low,333802,HDT-SMP Silver Armor Patch,1.0,MAIN,,no file name matches the folder; the only current MAIN file is suggested
HDT-SMP Infantry Armor PBR Patch,169,nexus_found,88562,HDT-SMP Infantry Armor Patch,4thUnknown tatururutia,name_fuzzy,medium,375354,HDT-SMP Infantry Armor Patch,1.0,MAIN,,no file name matches the folder; the only current MAIN file is suggested
